"CASE","SERIAL","REF","QUESTNNR","MODE","LANGUAGE","STARTED","PA01","PA18","PA05_01","PA05_02","PA05_03","PA05_04","PA05_05","PA05_06","PA20_01","PA20_02","PA20_03","PA20_04","PA20_05","PA20_06","PA14","PA12","PA17","PA07_01","PA19_01","PA08_01","PA23_01","PA15","PA22","PA16","TR02_01","TR03","TR16","TR04_01","TR04_02","TR04_03","TR04_04","TR04_05","TR04_06","TR04_07","TR04_08","TR11_01","TR11_02","TR11_03","TR11_04","TR11_05","TR11_06","TR11_07","TR11_08","TR05_02","TR05_03","TR05_04","TR05_05","TR05_06","TR05_07","TR06","TR17","SD01","SD03_01","SD04","SD07","SD09","SD17","SD15","SD12","SD14","SD16","GT01","GT02","RG02_01","RG11_01","RG12_01","RG09","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME"
1199,,,"russia","interview","rus",2021-04-10 16:11:03,3,,1,5,1,5,5,4,,,,,,,16,,,6,,3,,3,,1,"????????? ?????? ? ??? ???? ,??????? ? ??????????? ??????? ????? ????????? ??????",1,,4,3,4,4,3,3,4,4,,,,,,,,,3,3,3,3,3,3,2,,2,41,6,2,3,,2,1,,1,2,,"1",,,1,13,52,107,155,129,67,126,649,,2021-04-10 16:21:52,1,0,7,7,0,0,0.68,0
1200,,,"russia","interview","rus",2021-04-10 16:11:04,2,,1,4,1,5,1,5,,,,,,,16,,,6,,9,,4,,2,"?????? ????????? ?????? ? ????. 450 ??????????? ????. ?????????? ????? 110 ???. ???????.",3,,3,2,2,2,2,2,2,2,,,,,,,,,2,3,3,2,2,2,3,,2,52,10,2,3,,5,1,,2,2,,"1",,,1,7,42,77,168,97,60,93,544,,2021-04-10 16:20:08,1,0,7,7,0,0,0.9,6
1201,,,"russia","interview","rus",2021-04-10 16:11:04,2,,4,5,3,5,5,4,,,,,,,1,,,5,,3,,-1,,-1,"?? ??????? ????????? ????????? ? ????????????????? ??????????? ???????? ??????? ? ?????? ?????????? ?? ???????? ??????. ? ?????????? ????? ????????????? ????????  ????????? ?? ?? ???????.",2,,4,4,4,4,4,4,4,4,,,,,,,,,4,4,4,-1,4,4,4,,1,39,10,3,2,,3,1,,1,1,,"3",,,1,13,32,56,212,73,62,52,500,,2021-04-10 16:19:24,1,0,7,7,0,0,0.93,2
1203,,,"russia","interview","rus",2021-04-10 16:11:05,1,,-9,4,3,4,1,3,,,,,,,2,,,3,,8,,3,,2,"19 ???????? 2021 ???? ?????? ?????? ? ?????????????? ????. ? ??? ????????? ?????? ?????? ?????? ??? ? ? ??????? ??????.",2,,3,1,3,2,3,3,2,2,,,,,,,,,2,2,2,1,1,2,2,,1,36,7,2,1,,1,1,,2,-1,,"1",,,1,34,34,89,210,116,45,75,603,,2021-04-10 16:21:08,1,0,7,7,3,2,0.72,0
1204,,,"russia","interview","rus",2021-04-10 16:11:05,3,,2,4,4,5,2,4,,,,,,,1,,,1,,9,,2,,1,"? ??????? 2021 ?????? ?????????? ??????.? ?????? ??????? (? ???????) ???? ????? ?????????, ??????????, ???? ? ??-?? ???? ?????????? ? ?????? ????????. ??? ????????? ???? ???????????. ",3,,4,2,2,2,2,2,1,3,,,,,,,,,2,2,2,1,3,2,1,,2,38,7,2,2,,1,1,,1,1,,"2",,,1,23,87,164,253,133,99,123,882,,2021-04-10 16:25:47,1,0,7,7,0,0,0.47,0
1205,,,"russia","interview","rus",2021-04-10 16:11:05,2,,2,5,1,5,5,4,,,,,,,1,,,8,,9,,3,,1,"?????? ???? ?????????. ? ??? ?? ? ??? ?????? ?? ?????????,??????? ??????? ??? ??? ????!",3,,4,3,2,2,2,2,1,3,,,,,,,,,1,1,3,2,1,2,2,,2,67,4,2,2,,2,1,,2,1,,"3",,,1,16,38,84,219,300,89,74,820,,2021-04-10 16:24:45,1,0,7,7,0,0,0.64,0
1207,,,"russia","interview","rus",2021-04-10 16:11:06,2,,1,4,5,5,3,5,,,,,,,3,,,4,,10,,4,,2,"19 ???????? 2021 ???? ??? ????? ?????? ?????? ? ??????????????? ???? ? ??????????????? ???????????.",4,,1,1,1,1,1,1,1,2,,,,,,,,,4,3,3,2,2,2,2,,1,31,8,1,2,,1,1,,2,2,,"3",,,1,7,48,69,93,63,36,44,360,,2021-04-10 16:17:06,1,0,7,7,0,0,1.22,15
1208,,,"russia","interview","rus",2021-04-10 16:11:06,2,,2,3,4,5,5,2,,,,,,,1,,,5,,5,,3,,2,"19 ???????? 2021 ???? ? ?????? ??????? ?????? ? ??????????????? ????. ????? ???????????, ??? ?? ????? ???????, 4 ?????? ???????? ????? ? ??????????. ? ?????????? ???? ????????? ????????? ?? ??????? ?????? ????????????? ????????, ? ?????????? ??????????? ??????????? ?? ????????.",2,,3,3,3,3,3,3,3,4,,,,,,,,,2,3,2,2,2,2,3,,1,39,10,2,4,,1,1,,3,2,,"3",,,1,12,41,75,302,78,44,64,616,,2021-04-10 16:21:23,1,0,7,7,0,0,0.85,1
1209,,,"russia","interview","rus",2021-04-10 16:11:07,2,,-9,5,2,5,3,3,,,,,,,2,,,4,,3,,3,,1,"? ???????? 21 ???? ????? ?????? ? ???????. 110 ????????? ??????? ??????? 450 ????????? ?? 2000 ??????????",2,,3,3,3,3,2,2,3,3,,,,,,,,,1,2,2,3,1,2,3,,2,43,7,3,2,,1,1,,2,2,,"1",,,1,21,45,83,145,85,48,78,505,,2021-04-10 16:19:32,1,0,7,7,3,2,0.79,0
1211,,,"russia","interview","rus",2021-04-10 16:11:09,3,,2,2,2,5,3,3,,,,,,,15,,,3,,9,,-1,,1,"19 ???????? 2021 ?????? ?????? ? ??????? ?? 20 ???????? ????? ???????? ??? ?????? ?????? ?? ?????? ? ?????? ???????? ??????. ",4,,1,2,1,1,1,1,2,1,,,,,,,,,2,2,2,1,3,2,3,,2,26,4,4,2,,1,1,,3,2,,"2",,,1,21,109,140,215,205,154,73,917,,2021-04-10 16:26:27,1,0,7,7,0,0,0.49,0
1212,,,"russia","interview","rus",2021-04-10 16:11:09,3,,1,5,4,5,1,3,,,,,,,1,,,-1,,9,,-1,,2,"?????? ????????? ? ?????????????? ?????? ???????????. ",4,,-1,-1,2,2,2,2,-1,2,,,,,,,,,3,3,-1,1,2,2,1,,1,38,10,1,1,,1,1,,1,1,,"2",,,1,155,54,143,382,142,158,131,1023,,2021-04-10 16:30:34,1,0,7,7,0,0,0.38,0
1213,,,"russia","interview","rus",2021-04-10 16:11:10,2,,1,4,1,5,1,3,,,,,,,1,,,3,,7,,-1,,2,"19 ???????? ??????? ?????? ? ??? ???? ? ??? ?????? ??????? 110 ?? ??????? - ? ?????? ???????? 4 ?????? ??????? ????? ? ??????????. ???????? ????? ??????? ????? ?????? ?????????? ? ????? ????????? ????????? ? ???? ????? ????????? ?? ??????? ?????????.",2,,4,3,2,3,3,3,3,4,,,,,,,,,3,2,1,2,1,2,3,,2,42,6,3,3,,5,1,,-1,2,,"3",,,1,22,41,73,220,96,51,80,583,,2021-04-10 16:20:53,1,0,7,7,0,0,0.74,0
1214,,,"russia","interview","rus",2021-04-10 16:11:10,3,,2,5,5,5,5,4,,,,,,,16,,,5,,8,,2,,2,"9 ???????? 2021 ???? ???? ?????? ???????? ???? ??????",3,,3,1,2,2,2,2,2,3,,,,,,,,,2,1,2,3,2,2,3,,2,35,7,2,3,,1,1,,2,2,,"1",,,1,14,22,48,102,50,30,58,324,,2021-04-10 16:16:34,1,0,7,7,0,0,1.27,14
1215,,,"russia","interview","rus",2021-04-10 16:11:10,2,,-9,-9,-9,5,-9,-9,,,,,,,3,,,4,,4,,2,,2,"?? ??????? ????????? ??????????????? ???? ???? ???????? ????????? ?? ??????? ?????? ????????????? ????????. <br>?????????, ??????????????? ?? ?????? ????????, ????????????? ? ???????? ? ?????? ?????????? ?? ???????? ?????? ? ??????? ? ?????????? ??????????? ?? ??????? ????????????? ????????.",2,,1,3,1,2,3,2,3,1,,,,,,,,,2,3,1,3,1,2,3,,2,66,10,4,1,,2,1,,2,2,,"3",,,1,8,42,72,429,196,47,81,875,,2021-04-10 16:25:45,1,0,7,7,13,12,0.79,4
1216,,,"russia","interview","rus",2021-04-10 16:11:10,2,,4,5,2,5,5,5,,,,,,,16,,,8,,10,,3,,1,"19 ???????? 2021 ?  ? ??????????????? ??????????? ??????? ?????????. 2000 ????????? ????? ????8?? 450 ???? ? ??????????.",2,,3,3,2,1,2,3,3,1,,,,,,,,,2,1,3,4,3,3,2,,1,39,10,2,1,,3,1,,1,2,,"1",,,1,15,55,66,187,126,54,73,576,,2021-04-10 16:20:46,1,0,7,7,0,0,0.75,0
1217,,,"russia","interview","rus",2021-04-10 16:11:10,2,,2,5,5,5,5,4,,,,,,,16,,,6,,6,,2,,1,"? ?????? ???? ???? ? ????????????? ???????? ???????, ???????????? ???????????, ??? ?? ??????????? ??????? ? ?????? ???????? ??????? ?????????? ????????? ? ???? ???????????, ? ??? ????? ??????????? ????? ????????????? ????????.",2,,3,3,2,3,2,3,3,3,,,,,,,,,1,1,1,1,1,1,3,,2,26,9,1,2,,1,1,,1,2,,"4",,,1,5,28,59,231,71,35,39,468,,2021-04-10 16:18:58,1,0,7,7,0,0,1.3,18
1218,,,"russia","interview","rus",2021-04-10 16:11:11,1,,-9,-9,-9,5,-9,-9,,,,,,,1,,,10,,10,,2,,2,"???????? ?? ???? ??????,? ?????? ????? ?????? ?? ?????? ????? ? ????...",4,,4,2,1,2,3,3,1,2,,,,,,,,,4,2,1,1,1,2,3,,2,42,5,2,2,,1,1,,2,2,,"3",,,1,18,65,84,155,162,84,91,659,,2021-04-10 16:22:10,1,0,7,7,13,12,0.63,0
1219,,,"russia","interview","rus",2021-04-10 16:11:11,2,,1,1,2,4,2,2,,,,,,,1,,,2,,7,,3,,2,"19 ???????? ??????? ?????? ????????? ? ???????. ???????? ?????? ?????????? ? ????????????? ???????????.",2,,4,3,3,3,3,3,3,4,,,,,,,,,2,1,1,2,1,2,3,,2,34,7,2,2,,1,1,,2,2,,"2",,,1,66,229,168,155,55,98,70,643,,2021-04-10 16:25:12,1,0,7,7,0,0,0.6,2
1220,,,"russia","interview","rus",2021-04-10 16:11:11,2,,1,4,1,5,-9,-9,,,,,,,1,,,-1,,8,,3,,1,"????????????? ??????????? ???????. ????? ????????????? ??????? ???? ????????? ?? ???????? ????????????? ????????.  ",2,,3,3,3,3,3,3,3,3,,,,,,,,,3,3,3,3,3,3,3,,2,24,10,3,1,,1,1,,1,2,,"3",,,1,23,24,37,127,78,48,42,379,,2021-04-10 16:17:30,1,0,7,7,5,5,1.12,10
1221,,,"russia","interview","rus",2021-04-10 16:11:11,2,,1,4,1,5,5,1,,,,,,,2,,,3,,10,,4,,2,"?????? ?? ????????. ?? ?? ????, ????? ??????? ? ???????. ",4,,3,2,1,1,1,1,1,1,,,,,,,,,2,3,2,1,1,2,1,,2,32,8,4,5,,1,1,,2,2,,"1",,,1,10,26,60,50,77,44,50,317,,2021-04-10 16:16:28,1,0,7,7,0,0,1.34,17
1222,,,"russia","interview","rus",2021-04-10 16:11:12,2,,2,4,3,5,5,5,,,,,,,16,,,-1,,8,,3,,-1,"? ?????? ????? ?????? ????????? ??????????????? ???? . ? ?????????? ??????? ????? ????? ?????? ??? ?????????? ?? ???????? ??????.",3,,3,2,2,3,2,-1,2,-1,,,,,,,,,2,3,3,-1,3,2,3,,1,16,3,2,3,,6,1,,-1,2,,"2",,,1,6,39,106,223,69,50,74,567,,2021-04-10 16:20:39,1,0,7,7,0,0,0.98,9
1223,,,"russia","interview","rus",2021-04-10 16:11:12,2,,1,1,1,5,1,3,,,,,,,16,,,3,,8,,3,,1,"? ???????? 2021 ???? ? ?????? ??????? ?????? ????????? ??????????????? ????.",4,,3,2,1,1,1,1,2,1,,,,,,,,,1,1,2,4,2,3,2,,2,42,10,3,3,,1,1,,2,1,,"1",,,1,15,24,64,105,61,33,51,353,,2021-04-10 16:17:06,1,0,7,7,0,0,1.15,9
1224,,,"russia","interview","rus",2021-04-10 16:11:14,2,,5,5,4,5,5,4,,,,,,,16,,,8,,8,,3,,2,"? ?????????? ??????????? ??????? ???? ???????? ?????????. ?? ?????? ???????? ?????? ???? ?????????? ? ????????? ???????????????. ",4,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,3,3,1,1,4,,1,44,10,3,1,,1,1,,2,2,,"4",,,1,5,24,26,127,34,18,34,268,,2021-04-10 16:15:42,1,0,7,7,0,0,1.94,47
1225,,,"russia","interview","rus",2021-04-10 16:11:14,2,,1,5,5,5,5,5,,,,,,,1,,,9,,10,,2,,1,"????? ??????????? ???? ???????? ????????? ?? ??????? ????????????? ????????.????? ????? ?? ????????? ?? ?????????.",3,,4,2,2,2,2,2,2,4,,,,,,,,,3,3,3,3,3,3,3,,2,44,7,1,4,,1,1,,2,2,,"3",,,1,16,25,50,143,141,41,47,463,,2021-04-10 16:18:57,1,0,7,7,0,0,1.01,5
1226,,,"russia","interview","rus",2021-04-10 16:11:15,2,,2,5,4,5,5,5,,,,,,,16,,,8,,10,,,,,"? ???????? 2021 ???? ?????? ????????? ??.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"1",,,1,28,33,95,79,,,,235,,2021-04-10 16:15:10,0,0,4,4,0,0,0.94,9
1227,,,"russia","interview","rus",2021-04-10 16:11:15,2,,2,5,2,5,5,4,,,,,,,16,,,-1,,8,,4,,-1,"?????? ????????? ?????????? ????? ???????? ? ?????????? ? ?????????? ????? ???????? ???????? ?? ????????? ??????????????",4,,4,3,-1,-1,1,1,-1,-1,,,,,,,,,2,3,1,1,1,1,-1,,2,39,4,2,5,,6,1,,-1,-1,,"4",,,1,6,21,69,129,89,36,62,412,,2021-04-10 16:18:07,1,0,7,7,0,0,1.22,14
1228,,,"russia","interview","rus",2021-04-10 16:11:16,1,,2,5,4,5,5,4,,,,,,,15,,,6,,9,,4,,2,"2000 ?????????? ?? 450 ???? ? ???????? ?? 110????. ???????. ????? ??????? ???????????? ?????? ????????? ?? ??????? ?????? ?????????.",4,,3,1,1,3,1,1,1,1,,,,,,,,,1,1,1,2,1,1,1,,2,62,10,3,2,,2,1,,2,2,,"2",,,1,47,57,106,289,168,85,106,858,,2021-04-10 16:25:34,1,0,7,7,0,0,0.48,0
1229,,,"russia","interview","rus",2021-04-10 16:11:16,3,,1,1,1,5,-1,4,,,,,,,16,,,-1,,7,,3,,-1,"???????????? ?????????? ? ?????????? ? ??????????? ???????",2,,3,3,3,3,2,2,3,-1,,,,,,,,,-1,3,3,-1,-1,-1,2,,1,43,8,3,4,,1,1,,2,-1,,"1",,,1,3,20,50,56,53,32,35,249,,2021-04-10 16:15:25,1,0,7,7,0,0,1.8,50
1234,,,"russia","interview","rus",2021-04-10 16:11:17,2,,2,5,1,5,5,5,,,,,,,2,,,5,,8,,3,,1,"19 ????????2021? ????????? ?????? ? ???????.???? ?????? ??????? 110????????? ???????.",2,,4,4,3,3,3,3,3,4,,,,,,,,,2,3,2,3,3,3,3,,1,52,4,3,2,,2,1,,2,2,,"1",,,1,5,30,87,106,93,38,106,465,,2021-04-10 16:19:02,1,0,7,7,0,0,1.16,15
1235,,,"russia","interview","rus",2021-04-10 16:11:17,2,,2,5,5,5,5,4,,,,,,,1,,,8,,9,,3,,1,"19 ???????? 2021 ???? ?????? ?????? ? ??????????????? ???? ???? ???????????, ??? ??? ?????? ?????????????? ??????????? .????????? ????? ????????????? ???????? ???? ????????? ?? ??? ???????.",2,,3,3,2,3,3,3,3,3,,,,,,,,,3,3,3,3,3,3,3,,2,32,7,2,2,,1,1,,3,2,,"3",,,1,21,29,47,173,60,56,61,447,,2021-04-10 16:18:44,1,0,7,7,0,0,0.96,4
1237,,,"russia","interview","rus",2021-04-10 16:11:18,1,,-9,5,-9,-9,-9,-9,,,,,,,1,,,-1,,4,,4,,2,"? ?????? ?????????? ? ????????? ?????????????? ?? ???????.",2,,4,3,4,4,2,3,2,4,,,,,,,,,1,2,1,1,1,1,4,,2,71,4,2,3,,2,1,,1,1,,"3",,,1,8,31,31,110,46,28,45,299,,2021-04-10 16:16:17,1,0,7,7,13,12,1.47,23
1238,,,"russia","interview","rus",2021-04-10 16:11:18,2,,1,1,1,5,5,2,,,,,,,16,,,5,,10,,-1,,1,"????? ?????????????? ??????",4,,2,2,1,1,1,1,1,1,,,,,,,,,-1,-1,-1,-1,-1,-1,2,,2,22,7,1,2,,4,1,,-1,2,,"2",,,1,85,44,55,131,58,59,49,481,,2021-04-10 16:19:19,1,0,7,7,0,0,0.89,4
1240,,,"russia","interview","rus",2021-04-10 16:11:18,2,,1,3,5,5,5,5,,,,,,,16,,,-1,,6,,3,,2,"???????? ??-?? ??????, ??? ? ??????. ??? ????? ?????))) ",3,,3,3,2,2,2,2,3,1,,,,,,,,,3,1,3,2,1,3,3,,2,30,10,2,2,,1,1,,1,2,,"1",,,1,25,31,59,81,68,38,60,362,,2021-04-10 16:17:20,1,0,7,7,0,0,1.06,7
1241,,,"russia","interview","rus",2021-04-10 16:11:19,2,,5,1,1,5,1,1,,,,,,,2,,,1,,9,,3,,1,"19 ???????? 2021 ???? ????????? ?????? ????????? ??????????????? ????. ????? 2000 ?????????????????? ?????????? ?????? ??????? ? ?????? ?? 450 ???? ? ??????????.",2,,4,3,2,4,2,3,3,4,,,,,,,,,1,1,1,1,1,1,3,,2,57,10,2,3,,2,1,,1,2,,"1",,,1,8,28,78,134,80,49,68,445,,2021-04-10 16:18:44,1,0,7,7,0,0,1.03,5
1242,,,"russia","interview","rus",2021-04-10 16:11:19,2,,2,2,2,5,4,4,,,,,,,15,,,6,,8,,3,,1,"????????? ?????? ? ??????????????? ????, ????? ??????? ?????????? ????? 110 ??? ???????. ?? ?????? ??????????, ??? 4 ?????? ????????? ?????? ???????? ??????????? ? ???????? ? ??????????, ????? ????????????? ?? ???????.",3,,2,2,2,2,2,2,2,2,,,,,,,,,3,3,3,4,4,4,2,,2,30,6,1,1,,1,1,,2,1,,"2",,,1,34,78,93,320,96,57,135,813,,2021-04-10 16:24:52,1,0,7,7,0,0,0.55,0
1243,,,"russia","interview","rus",2021-04-10 16:11:19,2,,2,2,2,4,4,4,,,,,,,16,,,4,,8,,3,,1,"? ???????? 2021 ???? ????? ????????? ?????? ????????? ??????????????? ????. ? ?????? ??????????????? ?????????????? ????????, ????? ? ????????? ??? ??????????? ???? ???????? ???????? ????????? ?????????? ?????????? ???????.",3,,3,2,2,2,2,2,2,2,,,,,,,,,3,3,3,3,3,3,3,,2,29,8,2,1,,1,1,,2,1,,"2",,,1,194,35,149,139,216,68,72,692,,2021-04-10 16:25:52,1,0,7,7,0,0,0.59,0
1244,,,"russia","interview","rus",2021-04-10 16:11:19,2,,1,1,1,5,5,4,,,,,,,16,,,3,,10,,4,,2,"? ?????? ????????? ? ??????????? ??????? ? ???????? ??????????????? ???? ? ????????? ????????????? ? ???????? ? ????????? ??????, ??? ??? ?????? ??? ???????? ???????????? ??????.",4,,2,2,1,1,1,1,1,1,,,,,,,,,3,3,4,4,4,4,2,,2,28,4,2,4,,1,1,,2,2,,"2",,,1,62,71,73,247,125,107,220,905,,2021-04-10 16:26:24,1,0,7,7,0,0,0.47,0
1245,,,"russia","interview","rus",2021-04-10 16:11:19,1,,2,5,5,5,5,4,,,,,,,15,,,8,,9,,2,,1,"? ??????? 2021 ???? ??????? ?????? ? ???????. ?? 450 ???? ???????? 2000 ???????. ?????????, ??? ? ???? ??????? 4 ??????",4,,2,2,1,1,1,1,1,2,,,,,,,,,3,3,3,3,3,2,2,,1,55,7,3,1,,1,1,,2,2,,"1",,,1,10,17,37,106,58,28,32,288,,2021-04-10 16:16:07,1,0,7,7,0,0,1.53,27
1246,,,"russia","interview","rus",2021-04-10 16:11:20,2,,1,4,2,4,4,4,,,,,,,16,,,3,,5,,3,,2,"19 ???????? 2021 ???? ????????? ?????????????? ?????? ?????? ??????. ???????????, ??? ?????????? ???????? ? ??????? ? ??????????????.",4,,1,2,1,1,1,1,2,1,,,,,,,,,1,1,3,3,1,2,3,,1,20,7,3,4,,4,1,,-1,2,,"4",,,1,10,41,66,142,115,65,94,533,,2021-04-10 16:20:13,1,0,7,7,0,0,0.84,2
1247,,,"russia","interview","rus",2021-04-10 16:11:20,3,,2,2,-9,4,5,5,,,,,,,16,,,3,,7,,3,,2,"19 ???????? ????????? ??????, ????????? ?????, ?? ????? ????????, ??? ?????? ?????????????? ????????? ??????????? ? ?????? ?????????? ???????? ??????.",2,,3,3,3,3,2,-1,-1,4,,,,,,,,,1,3,2,1,2,2,2,,2,25,7,1,3,,1,1,,2,2,,"4",,,1,5,21,77,100,51,33,53,340,,2021-04-10 16:17:00,1,0,7,7,3,2,1.44,24
1248,,,"russia","interview","rus",2021-04-10 16:11:20,2,,5,5,5,4,2,5,,,,,,,1,,,8,,7,,2,,1,"??????? ??????, ?? ??????? ???????????, ?????????????? ? ???????????",4,,3,3,1,1,1,1,1,2,,,,,,,,,3,3,1,1,3,1,3,,1,41,8,1,1,,1,1,,1,1,,"3",,,1,12,14,24,104,49,22,31,256,,2021-04-10 16:15:36,1,0,7,7,0,0,1.79,39
1250,,,"russia","interview","rus",2021-04-10 16:11:21,2,,-9,5,-9,5,-9,-9,,,,,,,1,,,9,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"3",,,1,64,34,60,,,,,158,,2021-04-10 16:13:59,0,0,3,3,33,32,0.7,0
1252,,,"russia","interview","rus",2021-04-10 16:11:23,2,,4,4,1,5,1,1,,,,,,,3,,,8,,10,,-1,,2,"?????? ??? ? ?????? ??????? ?? ??????",2,,3,2,2,2,2,2,1,3,,,,,,,,,2,2,2,1,2,2,2,,2,32,10,2,4,,6,2,,2,2,,"2",,,1,61,51,68,70,70,45,72,437,,2021-04-10 16:18:40,1,0,7,7,0,0,0.93,7
1253,,,"russia","interview","rus",2021-04-10 16:11:23,-1,,-9,-9,-9,-9,5,-9,,,,,,,16,,,-1,,-1,,3,,2,"?????? ?????????",-1,,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,,1,33,6,2,5,,3,1,,-1,2,,"2",,,1,25,78,39,67,88,41,64,402,,2021-04-10 16:18:05,1,0,7,7,13,12,1.04,12
1255,,,"russia","interview","rus",2021-04-10 16:11:24,1,,1,4,1,5,1,4,,,,,,,16,,,8,,10,,4,,2,"? ???????? ????? ?????? ? ????????? ????? ????? ??? ?????",4,,1,2,1,1,1,1,2,1,,,,,,,,,2,1,2,-1,-1,-1,1,,2,29,7,2,4,,1,1,,2,2,,"2",,,1,67,26,67,69,82,70,55,436,,2021-04-10 16:18:40,1,0,7,7,0,0,0.98,9
1256,,,"russia","interview","rus",2021-04-10 16:11:24,2,,1,5,5,5,5,5,,,,,,,1,,,9,,10,,2,,1,"????? ???????? ????????? ?? ??????? ????? ????????????? ???????? ??? ???????? ????????? ???? ????????? ?? ????????????? ????????",4,,3,1,1,2,1,2,1,2,,,,,,,,,2,2,2,3,3,2,2,,2,43,7,2,4,,1,1,,2,1,,"3",,,1,10,20,43,158,60,36,48,375,,2021-04-10 16:17:39,1,0,7,7,0,0,1.25,14
1258,,,"russia","interview","rus",2021-04-10 16:11:25,2,,1,4,5,5,5,5,,,,,,,1,,,8,,10,,4,,1,"19 ???????? 2021 ???? ?????? ??????????? ????????, ????? ?????? ?????????? ??????? ????????????? ????????. ????? ????????????? ????????, ????????? ? ??????????, ???? ????????? ?? ???????? ????????????? ????????.",2,,3,3,3,3,3,3,1,3,,,,,,,,,2,2,-1,-1,2,-1,3,,1,33,10,1,3,,1,1,,1,2,,"3",,,1,14,25,50,164,92,36,42,423,,2021-04-10 16:18:28,1,0,7,7,0,0,1.09,8
1259,,,"russia","interview","rus",2021-04-10 16:11:26,3,,1,2,2,3,2,1,,,,,,,1,,,-1,,6,,-1,,-1,"? ???????? 2021 ???? ????? ?????? ????????? ???. ????. ????? ??????? (????????) ????? ???????? ? ??????? ? ?????????????? ? ?????? ???????? ??????.",3,,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,-1,-1,-1,-1,-1,-1,3,,2,35,-1,3,4,,1,1,,1,-1,,"2",,,1,59,55,85,469,114,54,99,935,,2021-04-10 16:27:01,1,0,7,7,0,0,0.55,0
1260,,,"russia","interview","rus",2021-04-10 16:11:26,3,,-9,4,4,5,5,5,,,,,,,16,,,-1,,-1,,2,,1,"19.09.2021 ????????? ?????? ? ?????????. ?? 450 ???? ?????????? 2000 ?????????? ?? ??????? 110 ????????? ???????.",2,,4,3,4,3,3,3,4,4,,,,,,,,,3,3,3,3,3,2,3,,1,33,10,1,3,,1,1,,1,2,,"1",,,1,15,39,65,152,120,85,59,535,,2021-04-10 16:20:21,1,0,7,7,3,2,0.8,0
1261,,,"russia","interview","rus",2021-04-10 16:11:27,3,,-9,-9,-9,4,-9,-9,,,,,,,16,,,7,,8,,2,,2,"? 2021 ???? ????????? ?????? ????????? ??????????????? ????. ??????? ?????????? ????? ?????? ??????? ? ???????????.",3,,4,3,2,4,2,3,2,4,,,,,,,,,2,2,2,3,1,2,2,,2,40,3,2,4,,1,1,,1,2,,"1",,,1,32,34,66,182,124,59,105,602,,2021-04-10 16:21:29,1,0,7,7,13,12,0.7,0
1263,,,"russia","interview","rus",2021-04-10 16:11:28,2,,2,3,2,5,4,3,,,,,,,15,,,4,,10,,4,,2,"???????? ?????? ????? ????????????? ?? ??????? ????????? ??????",4,,2,2,1,1,2,3,1,1,,,,,,,,,3,3,4,4,3,3,2,,2,31,10,2,1,,1,1,,2,2,,"2",,,1,122,36,61,80,112,65,53,420,,2021-04-10 16:20:17,1,0,7,7,0,0,0.87,6
1267,,,"russia","interview","rus",2021-04-10 16:11:29,2,,1,3,2,5,5,3,,,,,,,16,,,6,,8,,3,,1,"? ???????? ?????? ? ???????,????? ????? ??????????. ??????? ????? ??????? ?? ?????? ???????????",2,,3,2,3,3,3,3,3,3,,,,,,,,,3,3,3,3,3,3,2,,2,47,4,2,2,,1,1,,2,2,,"1",,,1,48,32,64,141,97,88,59,529,,2021-04-10 16:20:18,1,0,7,7,0,0,0.77,0
1268,,,"russia","interview","rus",2021-04-10 16:11:29,2,,2,5,1,5,5,5,,,,,,,1,,,10,,-1,,-1,,1,"19 ???????? 2021 ??????? ?????? ? ???????? ??? ????. ?????? 2000 ??? ????????? ? ????????",3,,4,1,2,2,2,1,2,3,,,,,,,,,2,1,3,2,1,2,2,,1,37,7,2,3,,1,1,,1,2,,"3",,,1,3,29,88,169,121,35,68,513,,2021-04-10 16:20:02,1,0,7,7,0,0,1.18,26
1269,,,"russia","interview","rus",2021-04-10 16:11:30,3,,2,2,2,5,5,4,,,,,,,16,,,2,,9,,2,,2,"?????? ? ????, ???????? ?????????, ??????, ",3,,2,2,2,2,2,2,2,2,,,,,,,,,1,1,2,1,1,1,2,,1,52,7,4,3,,6,1,,2,-1,,"2",,,1,56,48,97,89,88,61,79,518,,2021-04-10 16:20:08,1,0,7,7,0,0,0.76,4
1270,,,"russia","interview","rus",2021-04-10 16:11:31,2,,4,5,2,5,2,5,,,,,,,15,,,7,,3,,2,,1,"?? ????? ??????? ???? ????????? ?? ??????? ????????????? ???????? ? ?????? ?????????? ?????? ??????? ??????????? ? ???????.",2,,4,2,4,3,1,3,2,4,,,,,,,,,1,1,2,3,1,1,3,,2,53,10,1,3,,1,1,,1,1,,"2",,,1,50,66,153,353,188,102,123,1035,,2021-04-10 16:28:48,1,0,7,7,0,0,0.4,0
