CASE,QUESTNNR,RG02_01,TR02_01,response
2313,colombia,2,"no es un escenario hipotetico, peronas seguidoras del partido en poder y personas que trabajan para las comisiones electorales, decidieron llenar las urnas con votos extras(muertos votando) y alteraron el conteo de votos(cambiado los 0 por 8 y los 1 por 7) a favor del partido en poder por todo el territorio colombiano.",0
2315,colombia,2,Es corrupción. Por muchas partes del país tiene lugar estas prácticas.,1
2328,colombia,2,Las personas de la comisión electoral meten las manos para poder dejar un partido que a ellos les conviene,0
2332,colombia,2,Corrupción extrema,1
2333,colombia,2,Después del día de las elecciones se supo que los votos fueron alterados por votos a favor del partido que está en el poder y que los que realizaron el fraude fueron los trabajadores de las comisiones electorales,0
2384,colombia,2,las votaciones en colombia se realizara en 2022 y mas de 36 millones de colobianos tomaran la desicion que quien sera el elejido <br>si esta corrupcion tiene lugar en varias regiones del pais esto nos indica que todos los paices son muy corruptos,0
2386,colombia,2,Despues del dia de las votaciones se da a conocer que hubo una manipulación de votos por parte de las personas que trabajan para lad comisiones electorales.,0
2388,colombia,2,la compra de votos siempre a existido en colombia,1
2389,colombia,2,Corrupcion y fraude electoral,0
2403,colombia,2,Que hicieron una alteracion en los votos para beneficio de ellos,0
2568,colombia,2,"Con un serio pero valido escenario como lo son las elecciones, las comisiones encargadas del ejercicio electoral Colombiano no realizan transparentemente su labor. Puede ser que la manipulación fraudulenta de stos para beneficiar a unos a cambio de favores economicos, laborales entre otros. Como consecuencia se puede decir que el bando opuesto y perjudicado tendrá un periodo poco o casi nada agradable.",0
2608,colombia,2,En las elecciones del 13 de marzo del 2022 hubo fraude electoral por parte de las comisiones lectorales. <br>Las urnas fueron llenadas con votos extra a favor del partido en el poder en varias regiones del pais.,0
2612,colombia,2,Se supone que hay corrupción en las conductas electorales que hacen con votos extras y alteraciones en el conteo apoyaron a un partido en el poder para que lleguen al congreso,0
2614,colombia,2,Las elecciones fueron un fraude<br>Hay Corrupción en el poder,0
2635,colombia,2,Corrupcion-Fraude,0
2646,colombia,2,En las elecciones hay corrupcion ya que se llenan con votos falsos haciendo fraude electoral,0
2668,colombia,2,"Se realizan las elecciondes de presidente para colombia en 2022, se produce fraude electoral por manipulacion de votos.",0
2671,colombia,2,"es un escenario comun que se da en este pais, es casi que normal que en elecciones se realice fraude",1
2683,colombia,2,"como es costumbre, se descubre un nuevo caso de corrupción en colombia, esta vez se encontraron irregularidades en las elecciones al congreso y en el ascenso de cierto partido.",0
2687,colombia,2,Pues si se cometio un fraude es bueno que paguen los involucrados en el acto,1
2698,colombia,2,"La corrupcion esta desde los rangos mas altos, llevandose desde la registraduria la cual ejerce poder electoral y mientras este llena de corrupcion, siempre se eligira favorablemente a los politicos corruptos.",1
2702,colombia,2,dias despues de las elecciones los resultados son manipulados para beneficio de los politicos corruptos de siempre,0
2733,colombia,2,Corrupción y compra de votos.,0
2742,colombia,2,corrupcion en las elecciones y falsas promesas,0
2755,colombia,2,Subieron al poder a una persona manipulando los resultados y probablemente el partido politico compró a las comisiones electorales para mantener su poder e ideología,0
2774,colombia,2,"Las elecciones en Colombia se ven empañadas por las alteraciones en los resultados generales, ya que se reportaron votos de personas que se encuentran fallecidas, y también favorecieron cierto partido político para que se quedarán con la mayoría de los puestos en el congreso.",1
2775,colombia,2,hubo fraude en las votaciones por parte de la registraduria,0
2784,colombia,2,Se debería tener en cuenta el día de la votaciones para no tener que pasar por un escenario de fraude y así que gane el mejor candidato.,1
2785,colombia,2,Alteración del pueblo.violacion a la democracia,0
2788,colombia,2,la politica ya esta comprada con anticipacion ellos ya saben quien ganara,1
2789,colombia,2,Compra de votos <br>Fraude electoral,0
2836,colombia,2,Propuestas engañosas <br><br>Corrupcion antes las elecciones,0
2864,colombia,2,"Hubo alteración en el conteo de votos, siendo un fraude por parte de las personas que trabajan para las comisiones electorales.",0
2865,colombia,2,Se llenaron las urnas con votos extra y se hicieron alteraciones en el conteo de los votos a favor del partido con mas dinero.,0
2866,colombia,2,Se evidencian irregularidades y alteraciones en las votaciones pasadas por personas que trabajan para los que actualmente están en el poder político.,0
2879,colombia,2,Que se ve de manera no muy directa la corrupcion a nivel de urnas<br>,0
2883,colombia,2,"Las próximas elecciones seran el 13 de marzo del 2022, mas o menos botaran 36 millones de colombianos",4
2897,colombia,2,Las elecciones en Colombia no se realizan de manera justa y verídica para los ciudadanos.,0
2898,colombia,2,Compra de votos<br>Falsas promesas,0
2931,colombia,2,"1. En las elecciones actuales, se presenta alteració en los votos y en su conteo.<br>2. Fraude een las urnas realizado por personas que trabajan en las comisiones electorales.",0
2941,colombia,2,En Colombia se ve mucho el fraude y mas en tiempo de política,1
3041,colombia,2,"seria buena la reduccion primero de todos esos canditados mas aun la de los congresistas( 32 departamentos para 280 curules?), tanta gente solo hace revuelta elite en una palacio de leyes que no se utiliza para el mejoramiento del pueblo, la manipulacion laboral de esos puestos ya casi estan con candidato seguro, mucha corrupcion",1
3056,colombia,2,El texto describe una situación que no está lejos de repetirse. Más que una hipótesis parece una predicción.,0
3066,colombia,2,"Se han realizado las elecciones del 13 de marzo de 2022 y veinte partidos an retenido escaños en el congreso, se ha sabido que hubo alteraciones en el conteo de votos a favor del partido que esta en poder y que dichas alteraciones fueron hechas por personas que trabajan para las comisiones electorales en varias regiones del país",0
3075,colombia,2,"Se realizar fraude electoral, la instalacion de una dictadura.",0
3098,colombia,2,Me parece algo absurdo<br>La manera de la gente,1
3101,colombia,2,las elecciones no mejoran el pais en nada al contrario nos roban todo el tiempo y no hay casi callidad de vida,1
3104,colombia,2,colombia sigue confiando en los mismos,1
3131,colombia,2,Las elecciones la ganan los partidos que están en el poder con votos fraudulentos extra y emitidos por gente de la comisión electoral.,0
3133,colombia,2,Se espera 1000 candidatos registrados van a consultar por los 28 puestos del Congreso Eso me parece algo excelente que elijan bien esos candidatos,1
3153,colombia,2,"Las elecciones del 1 de marzo de 2022, fueron fraudulentas.",0
3160,colombia,2,que son corruptos,1
3162,colombia,2,El partido político que se encuentra en el poder realizar actos de fraude electoral en varias regiones del país.,0
3163,colombia,2,"Las elecciones generales en Colombia están programadas para el domingo 13 de marzo de 2022. Se espera que más de 1,000 candidatos registrados van a concursar por los 280 puestos del Congreso en la actual convocatoria, veinte partidos retuvieron escaños en el Congreso. En un escenario hipotético, supongamos que, después del día de las elecciones, se sabe sobre el llenado de las urnas con votos extra y las alteraciones del conteo de votos a favor del partido en el poder. En este escenario hipotético, se sabe que el fraude fue realizado por personas",2
3177,colombia,2,"considero que en colombia hay mucha corrupcion y de alguna manera los partidos los sobornan para asi cambiar los los votos , al igual los candidatos que se lanzan pagan por los votos a su favor , asi que hay corrupcion y soborno es todas partes de colombia",1
3193,colombia,2,Disturbios en las principales ciudades del país.<br>Desprestigio de las instituciones del estados y la clase política.,1
3865,colombia,2,Que se haga lo co4recto con el que cometio el fraude,1
3876,colombia,2,El gobierno alteró las elecciones a su favor con la complicidad de funcionarios de la comisión electoral,0
3892,colombia,2,"Fraude electoral como todas las elecciones, siempre sucede lo mismo además de eso la gente no vota a conciencia. Compran registradoras, los muertos votan.. Es un Fraude total",0
3903,colombia,2,Fraude electoral para mantener el poder entre los actores politicos que manejan al país,0
3920,colombia,2,"Después de las votaciones se dio a conocer una irregularidad en el número de votos, realizada por personas que trabajan para comisiones electorales, esto sucedió en varias regiones del país y favoreció al partido ganador.",0
3921,colombia,2,"De acuerdo a las elecciones pasadas, el congreso se mantiene concentrado por los mismos partidos políticos, como estos partidos mantienen el poder corrompe el proceso en las elecciones de los candidatos, y mantienen  a sus dirigentes en el poder.",0
3934,colombia,2,fraude electoral por alteraciones en los puntos de votaciones aunque a decir verdad eso no es novedad en colombia solo hay que ver las elecciones presidenciales pasadas donde el candidati con mayor desfavoravilidad fue quien gano al final,0
3939,colombia,2,fraude en las elecciones de congreso del pasado 13 de marzo del 2022,0
3959,colombia,2,"supongamos que, después del día de las elecciones, se sabe sobre el llenado de las urnas con votos extra y las alteraciones del conteo de votos a favor del partido en el poder. En este escenario hipotético, se sabe que el fraude fue realizado por personas que trabajan para las comisiones electorales. Supongamos que estas malas conductas electorales y prácticas de manipulación tuvieran lugar en varias regiones del país. <br>",0
3968,colombia,2,Que hay irregularidades en el sistema. Corrupción,0
3979,colombia,2,Hay gente ignirante que se deja sobornar<br>Los que se venefician son quienes realizan estas acciones,0
3981,colombia,2,Es lo mas de normal en colombia este ecenario,1
3999,colombia,2,"En las elecciones para los puestos del Congreso de la República se generó fraude en el conteo de votos, que trajo consigo mas escaños para los partidos politicos mas corruptos",0
4001,colombia,2,"Las elecciones son un evento que se presta para mucha corrupcion, ya que se busca conseguir botos.",1
4002,colombia,2,"Los resultados van a ser determinados por aproximadamente 36 miliones de Colombianos. En este escenario hipotético, se sabe que el fraude fue realizado por personas que trabajan para las comisiones electorales. Supongamos que estas malas conductas electorales y prácticas de manipulación tuvieran lugar en varias regiones del país.",2
4021,colombia,2,"personas que trabajan para las comisiones electorales realizan fraude de votos, que se es de saber fue hecho en varias regiones del pais",0
4031,colombia,2,"en general la politoca de mi querido pais es una mierda, los politicos son unos ladrones que solo quieren esclavisar y desangrar al pueblo colombiano",1
4044,colombia,2,El fraude electoral viene siendo una constante en Colombia.,1
4047,colombia,2,Pos que los conteos de votos deben de ser legales y con demogracia,1
4064,colombia,2,"Por fraude electoral varias personas vinculadas a comisiones electorales podrían ser sancionadas, esto debido a malas conductas electorales y prácticas de manipulación de votos.",1
4084,colombia,2,las elecciones fueron alteradas para poder seguir al poder un par de años mas,0
4092,colombia,2,En las elecciones 2022 de Colombia hay una actitud de corrupcion ya que el partido con mayor poder se auto ayuda con aquellos votos falsos,0
4114,colombia,2,En Colombia sigue habiendo corrupción<br>Las votaciones no fueron justas,1
4135,colombia,2,Hipotéticamente abría compra de botos por parte de los partido quienes participarían en este fraude serían las personas que laboran en las comisiones electorales.,0
4139,colombia,2,Seria una catástrofe,1
4141,colombia,2,Se dio alteración de votos a favor del partido en el poder en varias regiones del país,0
4154,colombia,2,los funcionarios que trabajan para las comisiones electorales se dejan manipular de personas inescrupulosas que buscan intereses personales antes que los generales,0
4155,colombia,2,Normalmente siempre son fraudes por el tema de los votos todo es pagado para que gane el que tiene más aliados en el tema político,1
4170,colombia,2,Colombia es un país lleno de corrupción.,1
4171,colombia,2,Uso del poder para beneficio propio,0
4195,colombia,2,"Consecuencia justa, debido a los actos de corrupción",1
1875,mexico,2,"Se llenaron urnas y se altero el conteo para favorecer al partidos en el poder, por trabajadores de las comisiones electorales en varios estados.",0
1876,mexico,2,Hubo corrupción por parte de los partidos políticos en las elecciones.<br>El organismo electoral encargado fue el principal culpable de la corrupción.,0
1877,mexico,2,Hay fraudes electorales por parte del mismo personal.,0
1878,mexico,2,Hubo fraude en las elecciones para que el poder quedara con los mismos,0
1917,mexico,2,Después de las elecciones se detectan irregulares en las casillas de votación,0
1918,mexico,2,"En resumen, las votaciones para las elecciones se vieron manipuladas por votos extras, además de allteraciones en votos a favor de un partido político en cuestión. Y que, estos fraudes, son cometidos por trabajadores del gobierno. No es ningún caso hipotético, es la realidad de lo que sucede en el país.",0
1935,mexico,2,"En México pasó lo que siempre pasa, corrupción a simple vista.",1
1942,mexico,2,Pues dice que tal vez haya manipulación de votos en el día de las elecciones por parte de las personas que trabajan para las comisiones electorales,0
1994,mexico,2,Fraude agregando votos y de igual manera disminuyendo votos de los contrarios,0
2017,mexico,2,Fraude Electoral que ha pasado muchas veces en el pais,0
2075,mexico,2,La corrupción sigue aunque no te des cuenta,1
2120,mexico,2,Lo que pasa cada elección para cualquier cosa en México.,1
2137,mexico,2,El partido en el poder se quiere mantener.<br>Las comisiones electorales están corrompidas.,1
2151,mexico,2,Las elecciones se llevaron acabo el 6 de junio del 2021 la asamblea determina si hubo fraude por la comisión electoral en el llenado de urnas.,0
2154,mexico,2,Se tiene que repetir la elección.,1
2214,mexico,2,"se confirma fraude electoral por los mismos politicos de siempre, muy a pesar de la democracia y el buen animo del pueblo para acudor a votar, se confirma la mafia politica en las comiciones electorales",0
2238,mexico,2,Que el partido en el poder iso fraude para que sus candidatos ganarán los puestos en la cámara de diputados y así en varias regiones,0
2248,mexico,2,Las urnas de varios puntos del país fueron manipuladas alterando los resultados de las elecciones del 06 de junio del 2021 en México.,0
2268,mexico,2,Se tuvo un gran golpe a la democracia con actos de corrupción e impunidad para mantener el control del poder,0
2303,mexico,2,Hubo fraude a favor de el partido morena,0
2309,mexico,2,Hubo corrupción en las votaciones por parte del INE,0
2344,mexico,2,Se hace fraude en las casillas electorales de la votación por la cámara de diputados 2021,0
2350,mexico,2,elecciones y aprtidos politicos,4
2387,mexico,2,Falta de cordinacion <br>Mucha hipocresía,1
2399,mexico,2,Hubo un fraude con las elecciones y manipularon los lugares para que tuviera espacio,0
2410,mexico,2,Ya pasaron las elecciones del 6 de junio y se da a conocer que hubo un fraude por parte de las comisiones electorales para favorecer al partido qu ésta actualmente en el poder.,0
2424,mexico,2,"Las elecciones se llevarán a cabo en México el 6 de junio del 2021,participarán mas de 2000 candidatos,los resultados serán determinados por más de 90 millones de mexicanos<br>En una suposición pasada las eleeciones se sabe que que para el candidato que lleve el poder habrá fraude ya sea en el llenado de votos y este fraude son prácticas en muchas regiones del pais",0
2429,mexico,2,Mucha corrupción,1
2436,mexico,2,Hubo corrupción para no destronar a un partido que lo que solamente a hecho es destruir a México,1
2441,mexico,2,Corrupción politica,1
2442,mexico,2,Supongo,3
2455,mexico,2,"Elecciones efectivas, espero sea escuchado el voto popular",1
2473,mexico,2,Pronto realizarán las elecciones <br>Las personas se interesandonles conviene,4
2486,mexico,2,"Que podemos otrogar nuestro voto, pero el gobierno arregla las elecciones.",0
2494,mexico,2,Morena gana con fraude electoral,0
2498,mexico,2,"Injusticia, corrupcion",1
2506,mexico,2,"Después de finalizar el periodo de elecciones de candidatos federales en México, sale a la luz información, donde se indica el fraude sobre la victoria de el partido ganador al poder. Descubriendo que dicho partido, ah manipulado ese resultado final, con el que se a nombrado ganador, demostrandose el fraude en varias regiones del país, por medio de manipulación en el llenando de urnas electorales con votos extras a su favor y alteraciones en el conteo de los votos a a su favor, sabiéndose que dicho fraude a sido cometido por los mismos empleados de las comisiones electorales de dichas regiones del país.",0
2508,mexico,2,"De los 90 millones de Mexicanos que se suponen que votan por candidatos, no sirve de nada si al final estos mismos alteran los votos",0
2510,mexico,2,Hubo corrupcion en el conteo de los votos,0
2520,mexico,2,La corrupcion es fácil de lograr haciendo trampas en este caso 8 partidos están haciendo trampa al meter votos extras,0
2524,mexico,2,Al día después de las elecciones se supo que las personas que trabajan en las comisiones electorales cometieron fraude a favor del partido al mando.,0
2637,mexico,2,Fraude electoral en México,0
2701,mexico,2,Se plantea un escenario hipotético en el que despues de las elecciones del 6 de junio de 2021 se descubre que ocurrio un fraude electoral en varias regiones del país.,0
2703,mexico,2,"Elecciones fraudulentas, El como las elecciones de candidatos son vendidas al mejor postor atraves de la venta de votos y sobornos",0
2723,mexico,2,Los mismos encargados de las elecciones cometieron fraude electoral,0
2726,mexico,2,Básicamente el partido que se encuentre en el poder está aprovechando esa oportunidad para alterar los resultados finales de las votaciones con la finalidad de que estos resultados sean a su favor,0
2740,mexico,2,Esas acciones son inaceptables pero lamentablemente tan reales también.<br>Esperemos con Andrés Manuel López Obrador sí cambie eso.,1
2744,mexico,2,El partido que está en el poder incurre en prácticas fraudulentas para seguir estando,0
2746,mexico,2,Fraude,0
2797,mexico,2,El fraude electoral en mayor parte es mas que nada compro de votos. Por dinero,0
2800,mexico,2,Es muy común en México que los partidos políticos manipulen a su favor,1
2808,mexico,2,Días después de las elecciones se da a conocer sobre fraude electoral al encontrar votos extras,0
2834,mexico,2,"Hubo alteracion de los votos en las urnas a favor del partido ganador, habiendo más votos de los reales.",0
2860,mexico,2,Supermal,1
2874,mexico,2,Personas afiliadas a otros partidos políticos participan como asistentes electorales al ver que los resultados no favorecen a sus partidos políticos y candidato deciden participar en llenados de las urnas de votos,0
2913,mexico,2,Se supone un fraude electoral por los funcionarios del instituto electoral,0
2938,mexico,2,"El día de las elecciones hay corrupcion y alteración en las urnas electorales, dando poder al partido actual",0
2943,mexico,2,"En dado caso, las personas que trabajan en en el INE o los que realizan el conteo de votos realizan el fraude,todo está envuelto en corrupción",0
2951,mexico,2,Se realizó fraude electoral,0
2952,mexico,2,Las elecciones fueron manipuladas por el gobierno a favor del partido al que pertenecen,0
2953,mexico,2,"Sea donde sea corrupción habrá, la cuestión es si es mejor tratar de eliminarla o tratar de controlarla",1
2970,mexico,2,Robo de votos <br>Y compra de votos,0
2981,mexico,2,Se sumaron votos extra a las urnas en varias locaciónes así que se considera fraude,0
2987,mexico,2,escenario de impugnación a las votaciones. corrupción del sistema electoral<br>,0
3005,mexico,2,El fraude en las elecciones es muy posible.<br>Existe fraude electoral en todo el país.,1
3006,mexico,2,Que hubiera un mal manejo de los votos y estuvieran involucrados gente que trabaja  para las comisiones electorales,0
3015,mexico,2,Fraude electoral encabezado por el partido en el poder.,0
3033,mexico,2,"Hubo embarazo de urnas, a favor del partido en el poder de parte de personas en las comisiones electorales",0
3045,mexico,2,La corrupción entro en una institución que se dice ser transparente (INE),0
3085,mexico,2,"Sistema totalmente corrompido, con la manipulación de votos en varias regiones del pais",0
3086,mexico,2,El día de las elecciones se manipulan los votos a favor del partido en el poder,0
3089,mexico,2,Este 6 de julio se dará la elección para los cándidos que rondar los 2 mil candidatos para cada distinto sector de la ciudad,4
3090,mexico,2,La idea política es saber en la contienda cuál canididate ganará,1
3091,mexico,2,El partido en el poder embarazo las urnas para seguir gobernando,0
3175,mexico,2,Las elecciones para diputados son el 6 de junio de 2021. Se plantea un escenario hipotetico donde el personal de comisiones electorales manipulan los resultados a favor del partido en el poder.,0
3178,mexico,2,Fraude electoral,0
3181,mexico,2,El fraude esta planeado para el proceso electoral la mayoria de las elecciones son compradas por las grandes coorporaciones o grandes empresarios,0
3187,mexico,2,No confio en las instituciones de gobierno,1
3210,mexico,2,Reeconteo de votos,1
3212,mexico,2,Después de las elecciones se descubrió un fraude realizado por comisionados,0
3216,mexico,2,"El domingo 6 de junio del año 2021 , se espera mas de 2000 candidatos que van a convidar por los 500 puestos de la cámara de diputados. Va haber de resultado 90 millones de mexicanos",4
3219,mexico,2,Las elecciones federales en México están programadas para el domingo 6 de junio de 2021.imajinese que se sabe que el gobierno en el poder manipuló las urnas,0
3874,mexico,2,Instituciones poco confiables. Traición a la nación y a la ciudadanía.,0
3881,mexico,2,"En las elecciones de 6 de junio del 2021 se sabe que el partido en el poder, realizó alteraciones a favor, con ayuda de comisiones electorales.",0
3893,mexico,2,Siempre hay botos de mas por cada partido,1
3928,mexico,2,Corrupción,0
3946,mexico,2,Fraude electoral.,0
3990,mexico,2,Las elecciones fueron alteradas por los mismos encargados,0
3991,mexico,2,Fraude Electoral Y Corrupción,0
4034,mexico,2,Fraude electoral,0
4051,mexico,2,el pri alteró las votaciones libres de los ciudadanos,0
4102,mexico,2,Se hace un fraude el día de las elecciones,0
4120,mexico,2,Que todo fraude electoral está mal,1
4134,mexico,2,Fraude electoral por manipulacion de votos,0
4160,mexico,2,Corrupción,0
4174,mexico,2,La institución del INE tiene vicios de irregularidad y pusieron al frente del país a alguien por corrupción,0
4178,mexico,2,"En el transporte de la urnas, que se manipule",1
4197,mexico,2,Qué el fraude electoral se supone que sucede porque los candidatos tiene comprado a los funcionarios,0
4198,mexico,2,"Que hacen fraude comprando votos, a favor del gobierno actual.",0
4222,mexico,2,La gente con tal de ganar poder haces cosas corruptas así es siempre,1
4226,mexico,2,La política se lleva a conveniencia de cierto partido a pesar de que todas las personas cumplan con su debido voto aún habrá espacio para la corrupción.,1
4229,mexico,2,Fraude electoral,0
4251,mexico,2,Hay corrupciones por parte de las personas que  trabajan ahi.,0
4257,mexico,2,Es corrupción lo que se está cometiendo. Y debe de ser sancionado o anular los votos,1
4271,mexico,2,Se agregarian votos a las urnas electorales para favorecer al partido en el poder en todo el pais,0
4272,mexico,2,El 6 de junio serán las elecciones federales.<br>La alteración de votos es muy posible.<br>,1
4276,mexico,2,En las elecciones hubo fraude electoral,0
4289,mexico,2,Fraude electoral,0
4295,mexico,2,"Es una suposición sobre las elecciones del 2021, donde se encuentra una urna con nuevos votos a favor del partido que esta en el poder en varias regiones del país.<br>Si esto pasase seria responsabilidad de las personas que trabajan para la comisión electoral.",0
1984,colombia,3,"Algunos funcionarios perderan su puesto en las comiciones electorales por haber sido participe de acciones fraudulentas en las elecciones generales, se evidenciaron hechos de corrupcion donde se llenaron urnas con votos extra y alteraciones en conteo de votosa favor de algun partido politico.",0
1989,colombia,3,El pais completo estaria inmerso bajo el poder de la corrupcion,1
1992,colombia,3,"Corrupción en la elecciones, nada tan alejado de la realidad en Colombia.<br>Perdida del puesto de los corruptos, cosa que No pasa en Colombia.",0
1997,colombia,3,Desacato y corrupción,4
2044,colombia,3,"En las elecciones del 13 de marzo de 2022, se evidencio presencia de manipulacion de votos por los partidos y las personas paticipes de este hecho perderian su puesto de trabajo en el que estaban actualmente.",0
2048,colombia,3,"Corrupción se presenta en las elecciones recientes y se evidencian fraudes en las mismas. Los responsables serían algunas personas que trabajan en las comisiones electorales, quienes podrían perder sus respectivos puestos.",0
2050,colombia,3,"se presento fraude en la elecciones de colombia  por conteo de votos y votos extras, por esto se va a dar saccion a los responsables",0
2051,colombia,3,Se presentaron irregularidades en las votaciones lo cual repercutirá en la perdida del puesto de las personas involucradas en el fraude.,0
2054,colombia,3,fraude electoral evidenciado por votos extra,4
2055,colombia,3,Quienes hipoteticamente  cometan actos corruptos en las elecciones hipoteticamente pueden ser destituidos,0
2057,colombia,3,ELECCIONESCOLOBIA,3
2064,colombia,3,que debemos ser responsables almomento de elegir,3
2081,colombia,3,"Hay mucha corrupción, falta de seguridad y honestidad",4
2118,colombia,3,Corrupción y compra de votos.,4
2134,colombia,3,"Se dice que hubo fraude en las elecciones, los votos fueron alterados por el actual partido en el poder y se investiga a las personas que cometieron dicho acto las cuales trabajan para el actual partido.",0
2144,colombia,3,"El llenado de urnas durante las elecciones generales en Colombia revela el problema corrupcion, conductas y malas practicas electorales, se espera que como consecuencia las personas responsables pierdan su puesto en las comisiones y se han llevadas ante la justicia.",0
2153,colombia,3,"Se puede resumir como, impunidad ante la corrupcion por los votos a el congreso de la republica.",4
2159,colombia,3,Se realiza justicia antes la corrupcion que se realizo en esas elecciones,0
2160,colombia,3,"En las elecciones para el congreso de la república de Colombia se encontró presunto fraude, alteraciones de votos y compra de estos mismos. Los candidatos que se encuentrten dentro de esta ilegalidad (si fueron ganadores), perderá inmediatamente su puesto.",0
2181,colombia,3,Hubo Fraude,4
2203,colombia,3,Todo actyo de corrupcion en un proceso electoral es una violacion a los derecho de los ciudaddanos y debe ser castigado todo aquel que haga esto.,1
2206,colombia,3,En Colombia el fraude electoral es tal que los encargados de la recolección de votos han sido previamente manipulados o sobornados para favorecer a un candidato específico.,1
2209,colombia,3,"Los responsables de los fraudes electorales son los trabajadores de las comisiones electorales y por lo tanto, en varias regiones del pais las elecciones fueron corruptas y los ganadores fueron manipulados.",4
2210,colombia,3,Compra de votos,4
2235,colombia,3,Se presenta fraude electoral en varias regiones y se identifican los responsables.<br>A raíz de esto las personas supuestamente responsables pierden su puesto en las comisiones electorales.,0
2241,colombia,3,KbB4WZvNy6gBBTU.<br>,3
2258,colombia,3,Hay mucha corrupción en Colombia,1
2260,colombia,3,"Hubo fraude en la elecciones, y se sabe que fue cometido por las personas que trabajan para las comisiones electorales.",4
2262,colombia,3,-ESO ES LO QUE SUCEDE PRACTICAMENTE CADA 4 AÑOS,1
2263,colombia,3,"Al manipular los votos a favor de un candidato, se está cometiendo fraude y el dejar pasar esta situación, claramente se está convirtiendo en un acto de corrupción.",1
2267,colombia,3,"Algunos canditatos y/o personas con intereses políticos y económicos pagaron a los trabajadores de la comisión electorarl para que los hicieran ganar y así controlar alguna zona de interés militar, político, etc. Pero los pillaron y ahora les quitarán sus puestos.",0
2272,colombia,3,corrupcion y fraude en las elecciones generales de Colombia.,4
2306,colombia,3,"en unas futuraselecciones generales en Colombia Se realizaran el domingo 13 de marzo de 2022. En las cuales más de para el domingo 13 de marzo de 2022. Se espera que más de 1,000 candidatos registrados van a concursar por los 280puestos del Congreso de la República. Lo cual va a ser determinante para los colombianos",4
2310,colombia,3,"Fraude en elecciones por graves conductas dadas por quienes trabajan para las comisiones electorales, sucedio en varias regiones del pais. Como consecuencia los responsables deberan perder su trabajo ante lo sucedido.",0
2314,colombia,3,Todas las entidades públicas son corruptos,1
2334,colombia,3,por corrupcion hubo grandes errores y por tanto consecuencias como perder el puesto,0
2335,colombia,3,"""Se ve una clara manipulación de los partidos """"poderosos"""" para mantenerse en el poder""",1
2351,colombia,3,La corrupción va ah liderar siempre en el campo de la política,1
2353,colombia,3,Un politico corrupto es cumpable de alteracion de votos despues de las eleccion por lo tanto se destituye de su cargo como consecuencias de sus actos.,0
2358,colombia,3,La corrupción abunda y más en el poder pretende llenarse los bolsillos con nuestro trabajo,1
2373,colombia,3,Así fue el fraude electoral.<br>Hubo fraude en las mesas de votaciones y se desatan dudas sobre la transparencia de los próximos comicios presidenciales.,1
2376,colombia,3,"Hubo fraude electoral debido a la mala gestión de las personas que trabajaron en las comisiones electorales, hubo votos extra en las urnas los cuales favorecieron al partido ganador. Por esta razón, estas personas perderán su puesto en dichas comisiones electorales.",0
2400,colombia,3,Abuso del poder para beneficios propios y perjuicio a los demas<br>ilegalidad en los procesos de elecciones democraticas<br>,4
2401,colombia,3,"En situacion de fraude electoral, se penaliza a los responsables",0
2418,colombia,3,las elecciones de los congrsistas en colombia fueron elegidas por la vos y voto de los colombianos,4
2639,colombia,3,"No pasaria nada, la corrupcion siempre gana. Taparia lo sucedido con otra noticia escandalosa para distraer a la gente de la actual situacion.",1
2644,colombia,3,Las elecciones de 2022 al Congreso fueron alteradas a favor del partido en el poder y perderán su puesto los trabajadores de las comisiones electorales que participaron el en fraude.,0
2650,colombia,3,Hubo fraude en las elecciones<br>Los responsables fueron destituidos,0
2652,colombia,3,El poder político en Colombia es muy grande.<br>Las personas del fraude serán recompensadas en otros puestos políticos,1
2653,colombia,3,Se realizó un proceso electoral en el cual se investiga que hubo fraude en el proceso y que fue a nivel nacional no solo un una zona particular,4
2679,colombia,3,Pues creo que sera lo justos porque se realizo fraude y debe pagar por sus actos,1
2685,colombia,3,"Las elecciones fueron manipuladas en mayor parte por personal de la comisión electoral.<br>Las personas que propiciaron el fraude electoral en las elecciones del 2022, serán removidas de sus cargos.",0
2688,colombia,3,"Sobornos y/o alianzas para sacar provecho, abrir paso a la corrupción y mentirle al pueblo",1
2718,colombia,3,Las elecciones son muy manipuladas y los entes no hacen nada,1
2721,colombia,3,Manipulación de votos por personas inescrupulosas en las elecciones nacionales,4
2731,colombia,3,La corrupción en colombia se repite y los culpables son castigados,0
2745,colombia,3,Fraude en Colombia,4
2760,colombia,3,Personas manipulan las elecciones electorales a favor de partidos políticos eso representa algunos controles de dichos partidos para permanecer en el poder y es desonesto y mentirle al pueblo y de paso robar su elección,4
2761,colombia,3,Intereses politicos interesados en el poder y el dinero comprando asi votos por medio de sobornos economicos aprovechandose asi de la población vulnerable como lo son estratos 1 2 y 3.,1
2762,colombia,3,"El actual presidente de fue elegido de manera corrupta, y probablemente el partido politico y las entidades electorales fueron los que manipularon los resultados para mantener su posición politica, cargos e ideología",1
2792,colombia,3,"habla claramente, del fraude electoral. puede ser que esas personas aunque hicieron mal su accion al involucrarse a hacer fraudes con las votaciones, es consiente que puede haber manipulacion verbal a ellos o posiblemente se les pagara por el daño, ya sabiendo que la situacion de colombia empeora con los años, se volvieron conformistas, y puede ser para mi una de las razones por las que hacen estos fraudes",1
