CASE,QUESTNNR,RG02_01,TR02_01,attention_check
2261,colombia,2,En Colombia se mucho el fraude y la corrupción diariamente y más en tiempos de política,Response
2273,colombia,2,"Hay elecciones generales en Colombia para el domingo 13 de marzo del 2022 y aproximadamente 36 millones de colombianos votarán.<br>Imaginando que veinte partidos politicos terminaron manteniendo escaños en el congreso, en un escenario hipotetico, después de las elecciones se supo que hubo fraude electoral a favor del partido en el poder y quienes realizaron tal acto fueron trabajadores de las comisiones electorales. Agreguele al caso hipotetico que esta manipulación se reprodujo en varias regiones del país.",Summary
2278,colombia,2,-PRACTICAMENTE COLOMBIA CADA 4 AÑOS,Response
2301,colombia,2,Corrupción en todas las escalas,Summary
2311,colombia,2,en las elecciones de colombia se presento un caso e corrupcion en el conteo de los votos presentadas en varias regiones de pais,Summary
2313,colombia,2,"no es un escenario hipotetico, peronas seguidoras del partido en poder y personas que trabajan para las comisiones electorales, decidieron llenar las urnas con votos extras(muertos votando) y alteraron el conteo de votos(cambiado los 0 por 8 y los 1 por 7) a favor del partido en poder por todo el territorio colombiano.",Summary
2315,colombia,2,Es corrupción. Por muchas partes del país tiene lugar estas prácticas.,Response
2328,colombia,2,Las personas de la comisión electoral meten las manos para poder dejar un partido que a ellos les conviene,Summary
2332,colombia,2,Corrupción extrema,Response
2333,colombia,2,Después del día de las elecciones se supo que los votos fueron alterados por votos a favor del partido que está en el poder y que los que realizaron el fraude fueron los trabajadores de las comisiones electorales,Summary
2384,colombia,2,las votaciones en colombia se realizara en 2022 y mas de 36 millones de colobianos tomaran la desicion que quien sera el elejido <br>si esta corrupcion tiene lugar en varias regiones del pais esto nos indica que todos los paices son muy corruptos,Summary
2386,colombia,2,Despues del dia de las votaciones se da a conocer que hubo una manipulación de votos por parte de las personas que trabajan para lad comisiones electorales.,Summary
2388,colombia,2,la compra de votos siempre a existido en colombia,Response
2389,colombia,2,Corrupcion y fraude electoral,Summary
2403,colombia,2,Que hicieron una alteracion en los votos para beneficio de ellos,Summary
2568,colombia,2,"Con un serio pero valido escenario como lo son las elecciones, las comisiones encargadas del ejercicio electoral Colombiano no realizan transparentemente su labor. Puede ser que la manipulación fraudulenta de stos para beneficiar a unos a cambio de favores economicos, laborales entre otros. Como consecuencia se puede decir que el bando opuesto y perjudicado tendrá un periodo poco o casi nada agradable.",Summary
2608,colombia,2,En las elecciones del 13 de marzo del 2022 hubo fraude electoral por parte de las comisiones lectorales. <br>Las urnas fueron llenadas con votos extra a favor del partido en el poder en varias regiones del pais.,Summary
2612,colombia,2,Se supone que hay corrupción en las conductas electorales que hacen con votos extras y alteraciones en el conteo apoyaron a un partido en el poder para que lleguen al congreso,Summary
2614,colombia,2,Las elecciones fueron un fraude<br>Hay Corrupción en el poder,Summary
2635,colombia,2,Corrupcion-Fraude,Summary
2646,colombia,2,En las elecciones hay corrupcion ya que se llenan con votos falsos haciendo fraude electoral,Summary
2668,colombia,2,"Se realizan las elecciondes de presidente para colombia en 2022, se produce fraude electoral por manipulacion de votos.",Summary
2671,colombia,2,"es un escenario comun que se da en este pais, es casi que normal que en elecciones se realice fraude",Response
2683,colombia,2,"como es costumbre, se descubre un nuevo caso de corrupción en colombia, esta vez se encontraron irregularidades en las elecciones al congreso y en el ascenso de cierto partido.",Summary
2687,colombia,2,Pues si se cometio un fraude es bueno que paguen los involucrados en el acto,Response
2698,colombia,2,"La corrupcion esta desde los rangos mas altos, llevandose desde la registraduria la cual ejerce poder electoral y mientras este llena de corrupcion, siempre se eligira favorablemente a los politicos corruptos.",Response
2702,colombia,2,dias despues de las elecciones los resultados son manipulados para beneficio de los politicos corruptos de siempre,Summary
2733,colombia,2,Corrupción y compra de votos.,Summary
2742,colombia,2,corrupcion en las elecciones y falsas promesas,Summary
2755,colombia,2,Subieron al poder a una persona manipulando los resultados y probablemente el partido politico compró a las comisiones electorales para mantener su poder e ideología,Summary
2774,colombia,2,"Las elecciones en Colombia se ven empañadas por las alteraciones en los resultados generales, ya que se reportaron votos de personas que se encuentran fallecidas, y también favorecieron cierto partido político para que se quedarán con la mayoría de los puestos en el congreso.",Response
2775,colombia,2,hubo fraude en las votaciones por parte de la registraduria,Summary
2784,colombia,2,Se debería tener en cuenta el día de la votaciones para no tener que pasar por un escenario de fraude y así que gane el mejor candidato.,Response
2785,colombia,2,Alteración del pueblo.violacion a la democracia,Summary
2788,colombia,2,la politica ya esta comprada con anticipacion ellos ya saben quien ganara,Response
2789,colombia,2,Compra de votos <br>Fraude electoral,Summary
2836,colombia,2,Propuestas engañosas <br><br>Corrupcion antes las elecciones,Summary
2864,colombia,2,"Hubo alteración en el conteo de votos, siendo un fraude por parte de las personas que trabajan para las comisiones electorales.",Summary
2865,colombia,2,Se llenaron las urnas con votos extra y se hicieron alteraciones en el conteo de los votos a favor del partido con mas dinero.,Summary
2866,colombia,2,Se evidencian irregularidades y alteraciones en las votaciones pasadas por personas que trabajan para los que actualmente están en el poder político.,Summary
2879,colombia,2,Que se ve de manera no muy directa la corrupcion a nivel de urnas<br>,Summary
2883,colombia,2,"Las próximas elecciones seran el 13 de marzo del 2022, mas o menos botaran 36 millones de colombianos",Incomplete
2897,colombia,2,Las elecciones en Colombia no se realizan de manera justa y verídica para los ciudadanos.,Summary
2898,colombia,2,Compra de votos<br>Falsas promesas,Summary
2931,colombia,2,"1. En las elecciones actuales, se presenta alteració en los votos y en su conteo.<br>2. Fraude een las urnas realizado por personas que trabajan en las comisiones electorales.",Summary
2941,colombia,2,En Colombia se ve mucho el fraude y mas en tiempo de política,Response
3041,colombia,2,"seria buena la reduccion primero de todos esos canditados mas aun la de los congresistas( 32 departamentos para 280 curules?), tanta gente solo hace revuelta elite en una palacio de leyes que no se utiliza para el mejoramiento del pueblo, la manipulacion laboral de esos puestos ya casi estan con candidato seguro, mucha corrupcion",Response
3056,colombia,2,El texto describe una situación que no está lejos de repetirse. Más que una hipótesis parece una predicción.,Summary
3066,colombia,2,"Se han realizado las elecciones del 13 de marzo de 2022 y veinte partidos an retenido escaños en el congreso, se ha sabido que hubo alteraciones en el conteo de votos a favor del partido que esta en poder y que dichas alteraciones fueron hechas por personas que trabajan para las comisiones electorales en varias regiones del país",Summary
3075,colombia,2,"Se realizar fraude electoral, la instalacion de una dictadura.",Summary
3098,colombia,2,Me parece algo absurdo<br>La manera de la gente,Response
3101,colombia,2,las elecciones no mejoran el pais en nada al contrario nos roban todo el tiempo y no hay casi callidad de vida,Response
3104,colombia,2,colombia sigue confiando en los mismos,Response
3131,colombia,2,Las elecciones la ganan los partidos que están en el poder con votos fraudulentos extra y emitidos por gente de la comisión electoral.,Summary
3133,colombia,2,Se espera 1000 candidatos registrados van a consultar por los 28 puestos del Congreso Eso me parece algo excelente que elijan bien esos candidatos,Response
3153,colombia,2,"Las elecciones del 1 de marzo de 2022, fueron fraudulentas.",Summary
3160,colombia,2,que son corruptos,Response
3162,colombia,2,El partido político que se encuentra en el poder realizar actos de fraude electoral en varias regiones del país.,Summary
3163,colombia,2,"Las elecciones generales en Colombia están programadas para el domingo 13 de marzo de 2022. Se espera que más de 1,000 candidatos registrados van a concursar por los 280 puestos del Congreso en la actual convocatoria, veinte partidos retuvieron escaños en el Congreso. En un escenario hipotético, supongamos que, después del día de las elecciones, se sabe sobre el llenado de las urnas con votos extra y las alteraciones del conteo de votos a favor del partido en el poder. En este escenario hipotético, se sabe que el fraude fue realizado por personas",Copy-paste
3177,colombia,2,"considero que en colombia hay mucha corrupcion y de alguna manera los partidos los sobornan para asi cambiar los los votos , al igual los candidatos que se lanzan pagan por los votos a su favor , asi que hay corrupcion y soborno es todas partes de colombia",Response
3193,colombia,2,Disturbios en las principales ciudades del país.<br>Desprestigio de las instituciones del estados y la clase política.,Response
3865,colombia,2,Que se haga lo co4recto con el que cometio el fraude,Response
3876,colombia,2,El gobierno alteró las elecciones a su favor con la complicidad de funcionarios de la comisión electoral,Summary
3892,colombia,2,"Fraude electoral como todas las elecciones, siempre sucede lo mismo además de eso la gente no vota a conciencia. Compran registradoras, los muertos votan.. Es un Fraude total",Summary
3903,colombia,2,Fraude electoral para mantener el poder entre los actores politicos que manejan al país,Summary
3920,colombia,2,"Después de las votaciones se dio a conocer una irregularidad en el número de votos, realizada por personas que trabajan para comisiones electorales, esto sucedió en varias regiones del país y favoreció al partido ganador.",Summary
3921,colombia,2,"De acuerdo a las elecciones pasadas, el congreso se mantiene concentrado por los mismos partidos políticos, como estos partidos mantienen el poder corrompe el proceso en las elecciones de los candidatos, y mantienen  a sus dirigentes en el poder.",Summary
3934,colombia,2,fraude electoral por alteraciones en los puntos de votaciones aunque a decir verdad eso no es novedad en colombia solo hay que ver las elecciones presidenciales pasadas donde el candidati con mayor desfavoravilidad fue quien gano al final,Summary
3939,colombia,2,fraude en las elecciones de congreso del pasado 13 de marzo del 2022,Summary
3959,colombia,2,"supongamos que, después del día de las elecciones, se sabe sobre el llenado de las urnas con votos extra y las alteraciones del conteo de votos a favor del partido en el poder. En este escenario hipotético, se sabe que el fraude fue realizado por personas que trabajan para las comisiones electorales. Supongamos que estas malas conductas electorales y prácticas de manipulación tuvieran lugar en varias regiones del país. <br>",Summary
3968,colombia,2,Que hay irregularidades en el sistema. Corrupción,Summary
3979,colombia,2,Hay gente ignirante que se deja sobornar<br>Los que se venefician son quienes realizan estas acciones,Summary
3981,colombia,2,Es lo mas de normal en colombia este ecenario,Response
3999,colombia,2,"En las elecciones para los puestos del Congreso de la República se generó fraude en el conteo de votos, que trajo consigo mas escaños para los partidos politicos mas corruptos",Summary
4001,colombia,2,"Las elecciones son un evento que se presta para mucha corrupcion, ya que se busca conseguir botos.",Response
4002,colombia,2,"Los resultados van a ser determinados por aproximadamente 36 miliones de Colombianos. En este escenario hipotético, se sabe que el fraude fue realizado por personas que trabajan para las comisiones electorales. Supongamos que estas malas conductas electorales y prácticas de manipulación tuvieran lugar en varias regiones del país.",Copy-paste
4021,colombia,2,"personas que trabajan para las comisiones electorales realizan fraude de votos, que se es de saber fue hecho en varias regiones del pais",Summary
4031,colombia,2,"en general la politoca de mi querido pais es una mierda, los politicos son unos ladrones que solo quieren esclavisar y desangrar al pueblo colombiano",Response
4044,colombia,2,El fraude electoral viene siendo una constante en Colombia.,Response
4047,colombia,2,Pos que los conteos de votos deben de ser legales y con demogracia,Response
4064,colombia,2,"Por fraude electoral varias personas vinculadas a comisiones electorales podrían ser sancionadas, esto debido a malas conductas electorales y prácticas de manipulación de votos.",Response
4084,colombia,2,las elecciones fueron alteradas para poder seguir al poder un par de años mas,Summary
4092,colombia,2,En las elecciones 2022 de Colombia hay una actitud de corrupcion ya que el partido con mayor poder se auto ayuda con aquellos votos falsos,Summary
4114,colombia,2,En Colombia sigue habiendo corrupción<br>Las votaciones no fueron justas,Response
4135,colombia,2,Hipotéticamente abría compra de botos por parte de los partido quienes participarían en este fraude serían las personas que laboran en las comisiones electorales.,Summary
4139,colombia,2,Seria una catástrofe,Response
4141,colombia,2,Se dio alteración de votos a favor del partido en el poder en varias regiones del país,Summary
4154,colombia,2,los funcionarios que trabajan para las comisiones electorales se dejan manipular de personas inescrupulosas que buscan intereses personales antes que los generales,Summary
4155,colombia,2,Normalmente siempre son fraudes por el tema de los votos todo es pagado para que gane el que tiene más aliados en el tema político,Response
4170,colombia,2,Colombia es un país lleno de corrupción.,Response
4171,colombia,2,Uso del poder para beneficio propio,Summary
4195,colombia,2,"Consecuencia justa, debido a los actos de corrupción",Response
1875,mexico,2,"Se llenaron urnas y se altero el conteo para favorecer al partidos en el poder, por trabajadores de las comisiones electorales en varios estados.",Summary
1876,mexico,2,Hubo corrupción por parte de los partidos políticos en las elecciones.<br>El organismo electoral encargado fue el principal culpable de la corrupción.,Summary
1877,mexico,2,Hay fraudes electorales por parte del mismo personal.,Summary
1878,mexico,2,Hubo fraude en las elecciones para que el poder quedara con los mismos,Summary
1917,mexico,2,Después de las elecciones se detectan irregulares en las casillas de votación,Summary
1918,mexico,2,"En resumen, las votaciones para las elecciones se vieron manipuladas por votos extras, además de allteraciones en votos a favor de un partido político en cuestión. Y que, estos fraudes, son cometidos por trabajadores del gobierno. No es ningún caso hipotético, es la realidad de lo que sucede en el país.",Summary
1935,mexico,2,"En México pasó lo que siempre pasa, corrupción a simple vista.",Response
1942,mexico,2,Pues dice que tal vez haya manipulación de votos en el día de las elecciones por parte de las personas que trabajan para las comisiones electorales,Summary
1994,mexico,2,Fraude agregando votos y de igual manera disminuyendo votos de los contrarios,Summary
2017,mexico,2,Fraude Electoral que ha pasado muchas veces en el pais,Summary
2075,mexico,2,La corrupción sigue aunque no te des cuenta,Response
2120,mexico,2,Lo que pasa cada elección para cualquier cosa en México.,Response
2137,mexico,2,El partido en el poder se quiere mantener.<br>Las comisiones electorales están corrompidas.,Response
2151,mexico,2,Las elecciones se llevaron acabo el 6 de junio del 2021 la asamblea determina si hubo fraude por la comisión electoral en el llenado de urnas.,Summary
2154,mexico,2,Se tiene que repetir la elección.,Response
2214,mexico,2,"se confirma fraude electoral por los mismos politicos de siempre, muy a pesar de la democracia y el buen animo del pueblo para acudor a votar, se confirma la mafia politica en las comiciones electorales",Summary
2238,mexico,2,Que el partido en el poder iso fraude para que sus candidatos ganarán los puestos en la cámara de diputados y así en varias regiones,Summary
2248,mexico,2,Las urnas de varios puntos del país fueron manipuladas alterando los resultados de las elecciones del 06 de junio del 2021 en México.,Summary
2268,mexico,2,Se tuvo un gran golpe a la democracia con actos de corrupción e impunidad para mantener el control del poder,Summary
2303,mexico,2,Hubo fraude a favor de el partido morena,Summary
2309,mexico,2,Hubo corrupción en las votaciones por parte del INE,Summary
2344,mexico,2,Se hace fraude en las casillas electorales de la votación por la cámara de diputados 2021,Summary
2350,mexico,2,elecciones y aprtidos politicos,Incomplete
2387,mexico,2,Falta de cordinacion <br>Mucha hipocresía,Response
2399,mexico,2,Hubo un fraude con las elecciones y manipularon los lugares para que tuviera espacio,Summary
2410,mexico,2,Ya pasaron las elecciones del 6 de junio y se da a conocer que hubo un fraude por parte de las comisiones electorales para favorecer al partido qu ésta actualmente en el poder.,Summary
2424,mexico,2,"Las elecciones se llevarán a cabo en México el 6 de junio del 2021,participarán mas de 2000 candidatos,los resultados serán determinados por más de 90 millones de mexicanos<br>En una suposición pasada las eleeciones se sabe que que para el candidato que lleve el poder habrá fraude ya sea en el llenado de votos y este fraude son prácticas en muchas regiones del pais",Summary
2429,mexico,2,Mucha corrupción,Response
2436,mexico,2,Hubo corrupción para no destronar a un partido que lo que solamente a hecho es destruir a México,Response
2441,mexico,2,Corrupción politica,Response
2442,mexico,2,Supongo,Unacceptable
2455,mexico,2,"Elecciones efectivas, espero sea escuchado el voto popular",Response
2473,mexico,2,Pronto realizarán las elecciones <br>Las personas se interesandonles conviene,Incomplete
2486,mexico,2,"Que podemos otrogar nuestro voto, pero el gobierno arregla las elecciones.",Summary
2494,mexico,2,Morena gana con fraude electoral,Summary
2498,mexico,2,"Injusticia, corrupcion",Response
2506,mexico,2,"Después de finalizar el periodo de elecciones de candidatos federales en México, sale a la luz información, donde se indica el fraude sobre la victoria de el partido ganador al poder. Descubriendo que dicho partido, ah manipulado ese resultado final, con el que se a nombrado ganador, demostrandose el fraude en varias regiones del país, por medio de manipulación en el llenando de urnas electorales con votos extras a su favor y alteraciones en el conteo de los votos a a su favor, sabiéndose que dicho fraude a sido cometido por los mismos empleados de las comisiones electorales de dichas regiones del país.",Summary
2508,mexico,2,"De los 90 millones de Mexicanos que se suponen que votan por candidatos, no sirve de nada si al final estos mismos alteran los votos",Summary
2510,mexico,2,Hubo corrupcion en el conteo de los votos,Summary
2520,mexico,2,La corrupcion es fácil de lograr haciendo trampas en este caso 8 partidos están haciendo trampa al meter votos extras,Summary
2524,mexico,2,Al día después de las elecciones se supo que las personas que trabajan en las comisiones electorales cometieron fraude a favor del partido al mando.,Summary
2637,mexico,2,Fraude electoral en México,Summary
2701,mexico,2,Se plantea un escenario hipotético en el que despues de las elecciones del 6 de junio de 2021 se descubre que ocurrio un fraude electoral en varias regiones del país.,Summary
2703,mexico,2,"Elecciones fraudulentas, El como las elecciones de candidatos son vendidas al mejor postor atraves de la venta de votos y sobornos",Summary
2723,mexico,2,Los mismos encargados de las elecciones cometieron fraude electoral,Summary
2726,mexico,2,Básicamente el partido que se encuentre en el poder está aprovechando esa oportunidad para alterar los resultados finales de las votaciones con la finalidad de que estos resultados sean a su favor,Summary
2740,mexico,2,Esas acciones son inaceptables pero lamentablemente tan reales también.<br>Esperemos con Andrés Manuel López Obrador sí cambie eso.,Response
2744,mexico,2,El partido que está en el poder incurre en prácticas fraudulentas para seguir estando,Summary
2746,mexico,2,Fraude,Summary
2797,mexico,2,El fraude electoral en mayor parte es mas que nada compro de votos. Por dinero,Summary
2800,mexico,2,Es muy común en México que los partidos políticos manipulen a su favor,Response
2808,mexico,2,Días después de las elecciones se da a conocer sobre fraude electoral al encontrar votos extras,Summary
2834,mexico,2,"Hubo alteracion de los votos en las urnas a favor del partido ganador, habiendo más votos de los reales.",Summary
2860,mexico,2,Supermal,Response
2874,mexico,2,Personas afiliadas a otros partidos políticos participan como asistentes electorales al ver que los resultados no favorecen a sus partidos políticos y candidato deciden participar en llenados de las urnas de votos,Summary
2913,mexico,2,Se supone un fraude electoral por los funcionarios del instituto electoral,Summary
2938,mexico,2,"El día de las elecciones hay corrupcion y alteración en las urnas electorales, dando poder al partido actual",Summary
2943,mexico,2,"En dado caso, las personas que trabajan en en el INE o los que realizan el conteo de votos realizan el fraude,todo está envuelto en corrupción",Summary
2951,mexico,2,Se realizó fraude electoral,Summary
2952,mexico,2,Las elecciones fueron manipuladas por el gobierno a favor del partido al que pertenecen,Summary
2953,mexico,2,"Sea donde sea corrupción habrá, la cuestión es si es mejor tratar de eliminarla o tratar de controlarla",Response
2970,mexico,2,Robo de votos <br>Y compra de votos,Summary
2981,mexico,2,Se sumaron votos extra a las urnas en varias locaciónes así que se considera fraude,Summary
2987,mexico,2,escenario de impugnación a las votaciones. corrupción del sistema electoral<br>,Summary
3005,mexico,2,El fraude en las elecciones es muy posible.<br>Existe fraude electoral en todo el país.,Response
3006,mexico,2,Que hubiera un mal manejo de los votos y estuvieran involucrados gente que trabaja  para las comisiones electorales,Summary
3015,mexico,2,Fraude electoral encabezado por el partido en el poder.,Summary
3033,mexico,2,"Hubo embarazo de urnas, a favor del partido en el poder de parte de personas en las comisiones electorales",Summary
3045,mexico,2,La corrupción entro en una institución que se dice ser transparente (INE),Summary
3085,mexico,2,"Sistema totalmente corrompido, con la manipulación de votos en varias regiones del pais",Summary
3086,mexico,2,El día de las elecciones se manipulan los votos a favor del partido en el poder,Summary
3089,mexico,2,Este 6 de julio se dará la elección para los cándidos que rondar los 2 mil candidatos para cada distinto sector de la ciudad,Incomplete
3090,mexico,2,La idea política es saber en la contienda cuál canididate ganará,Response
3091,mexico,2,El partido en el poder embarazo las urnas para seguir gobernando,Summary
3175,mexico,2,Las elecciones para diputados son el 6 de junio de 2021. Se plantea un escenario hipotetico donde el personal de comisiones electorales manipulan los resultados a favor del partido en el poder.,Summary
3178,mexico,2,Fraude electoral,Summary
3181,mexico,2,El fraude esta planeado para el proceso electoral la mayoria de las elecciones son compradas por las grandes coorporaciones o grandes empresarios,Summary
3187,mexico,2,No confio en las instituciones de gobierno,Response
3210,mexico,2,Reeconteo de votos,Response
3212,mexico,2,Después de las elecciones se descubrió un fraude realizado por comisionados,Summary
3216,mexico,2,"El domingo 6 de junio del año 2021 , se espera mas de 2000 candidatos que van a convidar por los 500 puestos de la cámara de diputados. Va haber de resultado 90 millones de mexicanos",Incomplete
3219,mexico,2,Las elecciones federales en México están programadas para el domingo 6 de junio de 2021.imajinese que se sabe que el gobierno en el poder manipuló las urnas,Summary
3874,mexico,2,Instituciones poco confiables. Traición a la nación y a la ciudadanía.,Summary
3881,mexico,2,"En las elecciones de 6 de junio del 2021 se sabe que el partido en el poder, realizó alteraciones a favor, con ayuda de comisiones electorales.",Summary
3893,mexico,2,Siempre hay botos de mas por cada partido,Response
3928,mexico,2,Corrupción,Summary
3946,mexico,2,Fraude electoral.,Summary
3990,mexico,2,Las elecciones fueron alteradas por los mismos encargados,Summary
3991,mexico,2,Fraude Electoral Y Corrupción,Summary
4034,mexico,2,Fraude electoral,Summary
4051,mexico,2,el pri alteró las votaciones libres de los ciudadanos,Summary
4102,mexico,2,Se hace un fraude el día de las elecciones,Summary
4120,mexico,2,Que todo fraude electoral está mal,Response
4134,mexico,2,Fraude electoral por manipulacion de votos,Summary
4160,mexico,2,Corrupción,Summary
4174,mexico,2,La institución del INE tiene vicios de irregularidad y pusieron al frente del país a alguien por corrupción,Summary
4178,mexico,2,"En el transporte de la urnas, que se manipule",Response
4197,mexico,2,Qué el fraude electoral se supone que sucede porque los candidatos tiene comprado a los funcionarios,Summary
4198,mexico,2,"Que hacen fraude comprando votos, a favor del gobierno actual.",Summary
4222,mexico,2,La gente con tal de ganar poder haces cosas corruptas así es siempre,Response
4226,mexico,2,La política se lleva a conveniencia de cierto partido a pesar de que todas las personas cumplan con su debido voto aún habrá espacio para la corrupción.,Response
4229,mexico,2,Fraude electoral,Summary
4251,mexico,2,Hay corrupciones por parte de las personas que  trabajan ahi.,Summary
4257,mexico,2,Es corrupción lo que se está cometiendo. Y debe de ser sancionado o anular los votos,Response
4271,mexico,2,Se agregarian votos a las urnas electorales para favorecer al partido en el poder en todo el pais,Summary
4272,mexico,2,El 6 de junio serán las elecciones federales.<br>La alteración de votos es muy posible.<br>,Response
4276,mexico,2,En las elecciones hubo fraude electoral,Summary
4289,mexico,2,Fraude electoral,Summary
4295,mexico,2,"Es una suposición sobre las elecciones del 2021, donde se encuentra una urna con nuevos votos a favor del partido que esta en el poder en varias regiones del país.<br>Si esto pasase seria responsabilidad de las personas que trabajan para la comisión electoral.",Summary
1984,colombia,3,"Algunos funcionarios perderan su puesto en las comiciones electorales por haber sido participe de acciones fraudulentas en las elecciones generales, se evidenciaron hechos de corrupcion donde se llenaron urnas con votos extra y alteraciones en conteo de votosa favor de algun partido politico.",Summary
1989,colombia,3,El pais completo estaria inmerso bajo el poder de la corrupcion,Response
1992,colombia,3,"Corrupción en la elecciones, nada tan alejado de la realidad en Colombia.<br>Perdida del puesto de los corruptos, cosa que No pasa en Colombia.",Summary
1997,colombia,3,Desacato y corrupción,Incomplete
2044,colombia,3,"En las elecciones del 13 de marzo de 2022, se evidencio presencia de manipulacion de votos por los partidos y las personas paticipes de este hecho perderian su puesto de trabajo en el que estaban actualmente.",Summary
2048,colombia,3,"Corrupción se presenta en las elecciones recientes y se evidencian fraudes en las mismas. Los responsables serían algunas personas que trabajan en las comisiones electorales, quienes podrían perder sus respectivos puestos.",Summary
2050,colombia,3,"se presento fraude en la elecciones de colombia  por conteo de votos y votos extras, por esto se va a dar saccion a los responsables",Summary
2051,colombia,3,Se presentaron irregularidades en las votaciones lo cual repercutirá en la perdida del puesto de las personas involucradas en el fraude.,Summary
2054,colombia,3,fraude electoral evidenciado por votos extra,Incomplete
2055,colombia,3,Quienes hipoteticamente  cometan actos corruptos en las elecciones hipoteticamente pueden ser destituidos,Summary
2057,colombia,3,ELECCIONESCOLOBIA,Unacceptable
2064,colombia,3,que debemos ser responsables almomento de elegir,Unacceptable
2081,colombia,3,"Hay mucha corrupción, falta de seguridad y honestidad",Incomplete
2118,colombia,3,Corrupción y compra de votos.,Incomplete
2134,colombia,3,"Se dice que hubo fraude en las elecciones, los votos fueron alterados por el actual partido en el poder y se investiga a las personas que cometieron dicho acto las cuales trabajan para el actual partido.",Summary
2144,colombia,3,"El llenado de urnas durante las elecciones generales en Colombia revela el problema corrupcion, conductas y malas practicas electorales, se espera que como consecuencia las personas responsables pierdan su puesto en las comisiones y se han llevadas ante la justicia.",Summary
2153,colombia,3,"Se puede resumir como, impunidad ante la corrupcion por los votos a el congreso de la republica.",Incomplete
2159,colombia,3,Se realiza justicia antes la corrupcion que se realizo en esas elecciones,Summary
2160,colombia,3,"En las elecciones para el congreso de la república de Colombia se encontró presunto fraude, alteraciones de votos y compra de estos mismos. Los candidatos que se encuentrten dentro de esta ilegalidad (si fueron ganadores), perderá inmediatamente su puesto.",Summary
2181,colombia,3,Hubo Fraude,Incomplete
2203,colombia,3,Todo actyo de corrupcion en un proceso electoral es una violacion a los derecho de los ciudaddanos y debe ser castigado todo aquel que haga esto.,Response
2206,colombia,3,En Colombia el fraude electoral es tal que los encargados de la recolección de votos han sido previamente manipulados o sobornados para favorecer a un candidato específico.,Response
2209,colombia,3,"Los responsables de los fraudes electorales son los trabajadores de las comisiones electorales y por lo tanto, en varias regiones del pais las elecciones fueron corruptas y los ganadores fueron manipulados.",Incomplete
2210,colombia,3,Compra de votos,Incomplete
2235,colombia,3,Se presenta fraude electoral en varias regiones y se identifican los responsables.<br>A raíz de esto las personas supuestamente responsables pierden su puesto en las comisiones electorales.,Summary
2241,colombia,3,KbB4WZvNy6gBBTU.<br>,Unacceptable
2258,colombia,3,Hay mucha corrupción en Colombia,Response
2260,colombia,3,"Hubo fraude en la elecciones, y se sabe que fue cometido por las personas que trabajan para las comisiones electorales.",Incomplete
2262,colombia,3,-ESO ES LO QUE SUCEDE PRACTICAMENTE CADA 4 AÑOS,Response
2263,colombia,3,"Al manipular los votos a favor de un candidato, se está cometiendo fraude y el dejar pasar esta situación, claramente se está convirtiendo en un acto de corrupción.",Response
2267,colombia,3,"Algunos canditatos y/o personas con intereses políticos y económicos pagaron a los trabajadores de la comisión electorarl para que los hicieran ganar y así controlar alguna zona de interés militar, político, etc. Pero los pillaron y ahora les quitarán sus puestos.",Summary
2272,colombia,3,corrupcion y fraude en las elecciones generales de Colombia.,Incomplete
2306,colombia,3,"en unas futuraselecciones generales en Colombia Se realizaran el domingo 13 de marzo de 2022. En las cuales más de para el domingo 13 de marzo de 2022. Se espera que más de 1,000 candidatos registrados van a concursar por los 280puestos del Congreso de la República. Lo cual va a ser determinante para los colombianos",Incomplete
2310,colombia,3,"Fraude en elecciones por graves conductas dadas por quienes trabajan para las comisiones electorales, sucedio en varias regiones del pais. Como consecuencia los responsables deberan perder su trabajo ante lo sucedido.",Summary
2314,colombia,3,Todas las entidades públicas son corruptos,Response
2334,colombia,3,por corrupcion hubo grandes errores y por tanto consecuencias como perder el puesto,Summary
2335,colombia,3,"""Se ve una clara manipulación de los partidos """"poderosos"""" para mantenerse en el poder""",Response
2351,colombia,3,La corrupción va ah liderar siempre en el campo de la política,Response
2353,colombia,3,Un politico corrupto es cumpable de alteracion de votos despues de las eleccion por lo tanto se destituye de su cargo como consecuencias de sus actos.,Summary
2358,colombia,3,La corrupción abunda y más en el poder pretende llenarse los bolsillos con nuestro trabajo,Response
2373,colombia,3,Así fue el fraude electoral.<br>Hubo fraude en las mesas de votaciones y se desatan dudas sobre la transparencia de los próximos comicios presidenciales.,Response
2376,colombia,3,"Hubo fraude electoral debido a la mala gestión de las personas que trabajaron en las comisiones electorales, hubo votos extra en las urnas los cuales favorecieron al partido ganador. Por esta razón, estas personas perderán su puesto en dichas comisiones electorales.",Summary
2400,colombia,3,Abuso del poder para beneficios propios y perjuicio a los demas<br>ilegalidad en los procesos de elecciones democraticas<br>,Incomplete
2401,colombia,3,"En situacion de fraude electoral, se penaliza a los responsables",Summary
2418,colombia,3,las elecciones de los congrsistas en colombia fueron elegidas por la vos y voto de los colombianos,Incomplete
2639,colombia,3,"No pasaria nada, la corrupcion siempre gana. Taparia lo sucedido con otra noticia escandalosa para distraer a la gente de la actual situacion.",Response
2644,colombia,3,Las elecciones de 2022 al Congreso fueron alteradas a favor del partido en el poder y perderán su puesto los trabajadores de las comisiones electorales que participaron el en fraude.,Summary
